Nation,Number_of_Players,Season1,Season2,Season3,Season4,Season5,Season6,Season7,Season8,Season9,Season10,Season11,Season12,Season13,Season14
South Korean,380,0,10,15,18,28,30,33,34,34,29,35,37,40,37
Chinese,171,0,10,8,19,10,8,12,12,11,15,15,17,15,19
Taiwanese,124,0,4,5,10,10,10,12,14,13,11,8,12,10,5
American,86,10,10,12,6,8,6,5,7,6,3,2,1,6,4
Vietnamese,65,0,5,0,0,0,0,12,6,11,1,0,10,10,10
Danish,54,0,2,1,5,4,8,7,5,6,6,3,4,2,1
Brazilian,49,0,0,0,5,4,5,6,5,3,5,6,4,3,3
Canadian,32,5,4,2,1,2,3,3,2,3,2,1,2,0,2
German,31,8,3,1,5,1,0,1,0,0,3,3,4,1,1
Australian,29,0,0,0,0,0,0,4,5,5,3,5,4,2,1
Turkish,27,0,0,0,4,0,0,3,3,3,2,4,8,0,0
French,25,4,1,2,2,4,0,2,2,0,1,2,0,4,1
Russian,25,0,4,4,0,0,2,1,3,3,4,4,0,0,0
Spanish,23,1,2,2,1,2,1,1,0,0,0,1,3,3,6
Japanese,20,0,0,0,0,0,0,2,3,3,3,2,2,2,3
